数据来源,药材名,文献,中文名,英文名,分子式,化合物类型,加合物（正）,加合物（负）,准分子离子(正离子模式),碎片离子(正离子模式),准分子离子(负离子模式),碎片离子(负离子模式)
TCM-SM-MS DB,丁香,中001,没食子酸,Gallic acid,C₇H₆O₅,酚类,[M+H]+,[M-H]-,171.0288,153.0182、 127.0387、 109.0277、 81.0323,169.0142,125.0236、 107.0116、 97.0294、 79.0178
TCM-SM-MS DB,丁香,中001,丹皮酚,Paeonol,C₉H₁₀O₃,酚类,[M+H]+,,167.0703,152.0579、 121.0844、 103.0541,,
TCM-SM-MS DB,丁香,中001,绿原酸,Chlorogenic acid,C₁₆H₁₈O₉,有机酸,[M+H]+,[M-H]-,355.1025,163.0390、 145.0287、 135.0437、 117.0331、 337.0943,353.0878,191.0559
TCM-SM-MS DB,丁香,中001,隐绿原酸,Cryptochlorogenic acid,C₁₆H₁₈O₉,有机酸,[M+H]+,[M-H]-,355.1029,163.0391、 145.0279、 135.0440、 117.0334,353.0865,191.055、 135.0448
TCM-SM-MS DB,丁香,中001,咖啡酸,Caffeic acid,C₉H₈O₄,有机酸,,[M-H]-,,,179.035,135.0448、 117.0371
TCM-SM-MS DB,丁香,中001,芦丁,Rutin,C₂₇H₃₀O₁₆,黄酮苷,,[M-H]-,,,609.1461,300.0272、 271.0241
TCM-SM-MS DB,丁香,中001,异绿原酸,Isochlorogenic acid,C₂₅H₂₄O₁₂,有机酸,[M+H]+,[M-H]-,517.1341,353.0850、 191.0549、 173.0451,515.118,353.087、 191.0567、 179.0351、 173.0457
TCM-SM-MS DB,丁香,中001,槲皮苷,Quercitrin,C₂₁H₂₀O₁₁,黄酮苷,[M+H]+,,449.1078,303.0543,,
TCM-SM-MS DB,丁香,中001,异鼠李素-3-O-D-葡萄糖苷,Isorhamnetin-3-O-D-glucoside,C₂₂H₂₂O₁₂,黄酮苷,[M+H]+,[M-H]-,479.1184,317.0653,477.1039,315.0489、 271.0238、 243.0292、 178.9972
TCM-SM-MS DB,丁香,中001,鞣花酸,Ellagic acid,C₁₄H₆O₈,酚类,[M+H]+,[M-H]-,303.0135,275.0192、 257.0072、 229.0154,300.999,283.9974、 257.0135、 243.9953、 229.0158、 217.0151、 201.0199、 185.0243、 157.0297
TCM-SM-MS DB,丁香,中001,槲皮素-3-O-葡萄糖醛酸苷 ,Quercetin-3-O-glucuronide,C₂₁H₁₈O₁₃,黄酮苷,[M+H]+,[M-H]-,479.082,303.0496,477.0675,301.0342、 178.9990、 151.0040
TCM-SM-MS DB,丁香,中001,乙酰丁香酚,Acetyleugenol,C₁₂H₁₄O₃,酚类,[M+H]+,,209.0808,191.0691、 163.0757、 119.0485,,
TCM-SM-MS DB,丁香,中001,槲皮素,Quercetin,C₁₅H₁₀O₇,黄酮,[M+H]+,,303.0499,285.0435、 274.0528、 257.0494、 229.0538、 165.0210、 153.0210,,
TCM-SM-MS DB,丁香,中001,橄榄苦苷,Oleuropein,C₂₅H₃₂O₁₃,环烯醚萜,,[M+COOH]-,,,585.1814,275.3269、 152.8090
TCM-SM-MS DB,丁香,中001,异鼠李素-3-O-葡萄糖醛酸苷,Isorhamnetin-3-O-glucuronide,C₂₂H₂₀O₁₃,黄酮苷,[M+H]+,[M-H]-,493.0977,317.0605、 302.0367、 274.0415、 153.0160,491.0831,315.0489、 271.0224
TCM-SM-MS DB,丁香,中001,木犀草素-7-O-β-D-葡萄糖醛酸苷,Luteolin-7-O-β-D-glucuronide,C₂₁H₁₈O₁₂,黄酮苷,[M+H]+,,463.0871,287.0503,,
TCM-SM-MS DB,丁香,中001,木犀草素,Luteolin,C₁₅H₁₀O₆,黄酮,[M+H]+,,287.055,153.0155、 241.0451、 213.0517,,
TCM-SM-MS DB,丁香,中001,3-O-甲基鞣花酸 ,3-O-Methylellagic acid,C₁₅H₈O₈,酚类,[M+H]+,[M-H]-,317.0292,302.0036、 274.0030、 246.0063、 229.0166,315.0146,299.9894、 243.9982、 178.9578
TCM-SM-MS DB,丁香,中001,异东莨菪内酯,Iso-scopoletin,C₁₀H₈O₄,香豆素,[M+H]+,,193.0495,178.0261、 165.0522、 137.0585、 150.0309,,
